container_name,pod_name,namespace,cluster_name,container_image,container_state,container_started_at,image_age_days,last_updated
ebs-plugin,ebs-csi-node-djd9w,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/aws-ebs-csi-driver:v1.28.0,running,2024-07-22 12:30:00+00:00,138,2024-07-22 15:54:34+00:00
scalyr-agent,scalyr-agent-2-pprzf,scalyr,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/docker-release/scalyr-agent/scalyr-k8s-agent-fips:2.2.9a,running,2024-07-22 12:30:00+00:00,174,2024-07-22 15:54:34+00:00
kube-proxy,kube-proxy-cvmxj,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/kube-proxy:v1.22.17,running,2024-07-22 12:29:58+00:00,397,2024-07-22 15:54:34+00:00
agent,agent-4l825,sentinelone,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/docker-release/cws-agents/release/23.4.2/release/s1agent:23.4.2.14,running,2024-07-22 12:29:58+00:00,126,2024-07-22 15:54:34+00:00
aws-node,aws-node-9ghrq,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/amazon-k8s-cni:v1.16.2,running,2024-07-22 12:29:57+00:00,138,2024-07-22 15:54:34+00:00
node-driver-registrar,ebs-csi-node-5x2wm,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/node-driver-registrar:v2.10.0-eks-1-29-5,running,2024-07-22 12:29:57+00:00,138,2024-07-22 15:54:34+00:00
liveness-probe,ebs-csi-node-5x2wm,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/livenessprobe:v2.12.0-eks-1-29-5,running,2024-07-22 12:29:57+00:00,138,2024-07-22 15:54:34+00:00
scalyr-agent,scalyr-agent-2-lslhc,scalyr,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/docker-release/scalyr-agent/scalyr-k8s-agent-fips:2.2.9a,running,2024-07-22 12:29:57+00:00,174,2024-07-22 15:54:34+00:00
ebs-plugin,ebs-csi-node-5x2wm,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/aws-ebs-csi-driver:v1.28.0,running,2024-07-22 12:29:56+00:00,138,2024-07-22 15:54:34+00:00
aws-node,aws-node-2xkqs,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/amazon-k8s-cni:v1.16.2,running,2024-07-22 12:29:55+00:00,138,2024-07-22 15:54:34+00:00
agent,agent-bqwpt,sentinelone,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/docker-release/cws-agents/release/23.4.2/release/s1agent:23.4.2.14,running,2024-07-22 12:29:55+00:00,126,2024-07-22 15:54:34+00:00
node-driver-registrar,ebs-csi-node-6xb6j,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/node-driver-registrar:v2.10.0-eks-1-29-5,running,2024-07-22 12:29:54+00:00,138,2024-07-22 15:54:34+00:00
liveness-probe,ebs-csi-node-6xb6j,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/livenessprobe:v2.12.0-eks-1-29-5,running,2024-07-22 12:29:54+00:00,138,2024-07-22 15:54:34+00:00
ebs-plugin,ebs-csi-node-6xb6j,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/aws-ebs-csi-driver:v1.28.0,running,2024-07-22 12:29:53+00:00,138,2024-07-22 15:54:34+00:00
node-driver-registrar,ebs-csi-node-7z7nk,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/node-driver-registrar:v2.10.0-eks-1-29-5,running,2024-07-22 12:29:53+00:00,138,2024-07-22 15:54:34+00:00
liveness-probe,ebs-csi-node-7z7nk,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/livenessprobe:v2.12.0-eks-1-29-5,running,2024-07-22 12:29:53+00:00,138,2024-07-22 15:54:34+00:00
agent,agent-6q7zd,sentinelone,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/docker-release/cws-agents/release/23.4.2/release/s1agent:23.4.2.14,running,2024-07-22 12:29:53+00:00,126,2024-07-22 15:54:34+00:00
aws-node,aws-node-f4bhq,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/amazon-k8s-cni:v1.16.2,running,2024-07-22 12:29:52+00:00,138,2024-07-22 15:54:34+00:00
ebs-plugin,ebs-csi-node-7z7nk,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/aws-ebs-csi-driver:v1.28.0,running,2024-07-22 12:29:52+00:00,138,2024-07-22 15:54:34+00:00
node-exporter,prometheus-node-exporter-9rd2j,prometheus,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/node-exporter:v1.5.0,running,2024-07-22 12:29:52+00:00,396,2024-07-22 15:54:34+00:00
kube-proxy,kube-proxy-gzfdk,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/kube-proxy:v1.22.17,running,2024-07-22 12:29:50+00:00,397,2024-07-22 15:54:34+00:00
aws-node,aws-node-p4rfs,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/amazon-k8s-cni:v1.16.2,running,2024-07-22 12:29:49+00:00,138,2024-07-22 15:54:34+00:00
agent,agent-hsms6,sentinelone,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/docker-release/cws-agents/release/23.4.2/release/s1agent:23.4.2.14,running,2024-07-22 12:29:49+00:00,126,2024-07-22 15:54:34+00:00
aws-node,aws-node-c2mbg,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/amazon-k8s-cni:v1.16.2,running,2024-07-22 12:29:48+00:00,138,2024-07-22 15:54:34+00:00
node-exporter,prometheus-node-exporter-g2bcb,prometheus,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/node-exporter:v1.5.0,running,2024-07-22 12:29:48+00:00,396,2024-07-22 15:54:34+00:00
kube-proxy,kube-proxy-z7w82,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/kube-proxy:v1.22.17,running,2024-07-22 12:29:47+00:00,397,2024-07-22 15:54:34+00:00
node-exporter,prometheus-node-exporter-txwzn,prometheus,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/node-exporter:v1.5.0,running,2024-07-22 12:29:47+00:00,396,2024-07-22 15:54:34+00:00
kube-proxy,kube-proxy-hv5rk,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/kube-proxy:v1.22.17,running,2024-07-22 12:29:46+00:00,397,2024-07-22 15:54:34+00:00
agent,agent-98x7w,sentinelone,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/docker-release/cws-agents/release/23.4.2/release/s1agent:23.4.2.14,running,2024-07-22 12:29:46+00:00,126,2024-07-22 15:54:34+00:00
kube-proxy,kube-proxy-22879,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/kube-proxy:v1.22.17,running,2024-07-22 12:29:45+00:00,397,2024-07-22 15:54:34+00:00
agent,agent-km27z,sentinelone,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/docker-release/cws-agents/release/23.4.2/release/s1agent:23.4.2.14,running,2024-07-22 12:29:45+00:00,126,2024-07-22 15:54:34+00:00
kube-proxy,kube-proxy-r2j2z,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/kube-proxy:v1.22.17,running,2024-07-22 12:29:44+00:00,397,2024-07-22 15:54:34+00:00
node-exporter,prometheus-node-exporter-hxmbz,prometheus,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/node-exporter:v1.5.0,running,2024-07-22 12:29:44+00:00,396,2024-07-22 15:54:34+00:00
node-exporter,prometheus-node-exporter-nbql8,prometheus,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/node-exporter:v1.5.0,running,2024-07-22 12:29:41+00:00,396,2024-07-22 15:54:34+00:00
node-exporter,prometheus-node-exporter-vwvhm,prometheus,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/node-exporter:v1.5.0,running,2024-07-22 12:29:39+00:00,396,2024-07-22 15:54:34+00:00
tomcat,fadvusgw14-worker-lowpriority-110,default,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/scalyr-monolith-s1:build256-535c5218ea,running,2024-07-22 12:14:39+00:00,21,2024-07-22 15:54:34+00:00
tomcat,fadvusgw14-worker-lowpriority-106,default,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/scalyr-monolith-s1:build256-535c5218ea,running,2024-07-22 12:14:34+00:00,21,2024-07-22 15:54:34+00:00
tomcat,fadvusgw14-worker-lowpriority-108,default,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/scalyr-monolith-s1:build256-535c5218ea,running,2024-07-22 12:14:34+00:00,21,2024-07-22 15:54:34+00:00
tomcat,fadvusgw14-worker-lowpriority-109,default,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/scalyr-monolith-s1:build256-535c5218ea,running,2024-07-22 12:14:34+00:00,21,2024-07-22 15:54:34+00:00
tomcat,fadvusgw14-worker-lowpriority-107,default,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/scalyr-monolith-s1:build256-535c5218ea,running,2024-07-22 12:14:26+00:00,21,2024-07-22 15:54:34+00:00
consul-client,fadvusgw14-worker-lowpriority-110,default,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/consul:1.12.9,running,2024-07-22 12:14:17+00:00,396,2024-07-22 15:54:34+00:00
tomcat,fadvusgw14-worker-lowpriority-112,default,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/scalyr-monolith-s1:build256-535c5218ea,running,2024-07-22 12:14:17+00:00,21,2024-07-22 15:54:34+00:00
tomcat,fadvusgw14-worker-lowpriority-111,default,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/scalyr-monolith-s1:build256-535c5218ea,running,2024-07-22 12:14:14+00:00,21,2024-07-22 15:54:34+00:00
tomcat,fadvusgw14-worker-lowpriority-116,default,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/scalyr-monolith-s1:build256-535c5218ea,running,2024-07-22 12:14:12+00:00,21,2024-07-22 15:54:34+00:00
consul-client,fadvusgw14-worker-lowpriority-106,default,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/consul:1.12.9,running,2024-07-22 12:14:11+00:00,396,2024-07-22 15:54:34+00:00
consul-client,fadvusgw14-worker-lowpriority-108,default,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/consul:1.12.9,running,2024-07-22 12:14:11+00:00,396,2024-07-22 15:54:34+00:00
consul-client,fadvusgw14-worker-lowpriority-109,default,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/consul:1.12.9,running,2024-07-22 12:14:11+00:00,396,2024-07-22 15:54:34+00:00
tomcat,fadvusgw14-worker-lowpriority-113,default,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/scalyr-monolith-s1:build256-535c5218ea,running,2024-07-22 12:14:11+00:00,21,2024-07-22 15:54:34+00:00
tomcat,fadvusgw14-worker-lowpriority-114,default,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/scalyr-monolith-s1:build256-535c5218ea,running,2024-07-22 12:14:11+00:00,21,2024-07-22 15:54:34+00:00
tomcat,fadvusgw14-worker-lowpriority-115,default,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/scalyr-monolith-s1:build256-535c5218ea,running,2024-07-22 12:14:10+00:00,21,2024-07-22 15:54:34+00:00
